Name,efficiency_score,labor_hours_variance_pct,days_variance_pct,materials_variance_pct
2406 Marquette Road Apt 5 Peru IL 61354,0.10236809223160084,0.0015723270440251,0.25,0.1329096435479415
445 Elm PL Apt R12,0.0,0.0,0.0,0.0
602/1B,0.0,0.0,0.0,0.0
1444/4 State Street,0.0,0.0,0.0,0.0
141  B East Walnut Street,0.0,0.0,0.0,0.0
1339 Kansas B Ottawa,0.0,0.0,0.0,0.0
424 Heritage East Ottawa,0.0,0.0,0.0,0.0
606/2B,0.0,0.0,0.0,0.0
2018 First Street Peru IL 61354,0.0,0.0,0.0,0.0
"600 E McKinley Rd. Apt 3A Ottawa, IL 61350 (copy)",0.0,0.0,0.0,0.0
"1444 State, #8, Ottawa",0.0,0.0,0.0,0.0
445 Elm Place R-13 Princeton IL 61356,0.0,0.0,0.0,0.0
2406 Marquette Road Apt 12 Peru IL 61354,0.0,0.0,0.0,0.0
"1413 Adams St Ottawa, IL 61350",0.0,0.0,0.0,0.0
1400 Kansas Street Apt A Ottawa IL 61350,0.0,0.0,0.0,0.0
1101 Carrie Lane Apt. 7 Marseilles IL 61341,-0.10236809223160082,-0.0015723270440251,-0.25,-0.1329096435479413
